name,weight_class,height_in,reach_in,stance,wins,losses,ko_wins,sub_wins,dec_wins,ko_losses,sub_losses,dec_losses,strike_accuracy_pct,td_accuracy_pct,td_defense_pct,last_fight_date,first_round_finish_pct,age,last_fight_result,last_fight_method,missed_weight_count,slpm,sapm,control_time_pct,last_fight_opponent,country,short_notice,combat_edge_checked,wikipedia_checked,td_per_15,slpm_r,sapm_r,td_per_15_r,draws,knockdowns_per_fight,td_accuracy_pct_r,espn_fights,sig_strikes_att_per_fight,td_att_per_fight,strike_accuracy_pct_r,knockdowns_absorbed_per_fight,sig_strikes_absorbed_per_fight,td_att_faced_per_fight,sig_strikes_landed_per_min,td_landed_per_15,sig_strikes_absorbed_per_min,fight_minutes_total,absorbed_leg_share,absorbed_body_share,strikes_ground_share,absorbed_head_share,strikes_head_share,strikes_body_share,strikes_distance_share,absorbed_ground_share,strikes_clinch_share,strikes_leg_share,absorbed_distance_share,absorbed_clinch_share
Jan Blachowicz,Light Heavyweight,74.0,78.0,Orthodox,29,12,9.0,9.0,11.0,3.0,2.0,7.0,50.2,48.7,70.0,2026-08-01,,43.0,L,KO/TKO,,,,,Navajo Stirling,Poland,0.0,True,True,0.976,,,,,0.28,35.7,25.0,82.8,1.56,51.8,0.08,38.12,2.4,3.201,0.877,2.934,324.9,24.6,16.4,11.3,59.1,61.4,20.7,78.4,25.7,10.3,17.9,65.9,8.4
Navajo Stirling,Light Heavyweight,76.0,79.0,Orthodox,11,0,7.0,0.0,4.0,0.0,0.0,0.0,55.5,25.0,71.4,2026-08-01,,28.0,W,KO/TKO,,,,,Jan Blachowicz,New Zealand,0.0,True,True,0.961,5.984,2.511,1.387,,0.429,24.8,7.0,121.29,2.29,56.7,0.0,26.57,5.0,6.474,0.825,2.557,72.8,19.9,22.6,17.4,57.5,50.3,31.4,76.9,1.6,5.7,18.3,89.2,9.1
Daniel Rodriguez,Welterweight,73.0,74.0,Southpaw,20,6,9.0,4.0,7.0,2.0,1.0,3.0,49.1,50.0,64.0,2026-08-01,,39.0,L,KO/TKO,,,,,Uroš Medić,USA,0.0,True,True,0.185,6.692,5.355,0.189,,0.438,37.8,16.0,162.81,0.75,47.9,0.25,60.56,3.12,7.185,0.506,5.444,178.0,17.6,20.6,3.8,61.7,62.3,19.9,94.2,5.0,2.0,17.7,92.0,3.1
Uroš Medić,Welterweight,73.0,71.0,Southpaw,14,3,12.0,2.0,0.0,1.0,2.0,0.0,60.8,,55.6,2026-08-01,,33.0,W,KO/TKO,,,,,Daniel Rodriguez,Serbia,0.0,True,True,0.36,,,,,0.917,,12.0,35.08,0.17,59.4,0.25,12.58,1.5,5.772,0.338,3.405,44.4,19.9,20.5,28.1,59.6,66.4,23.0,60.9,16.6,10.9,10.5,76.8,6.6
Steven Asplund,Heavyweight,77.0,78.0,Orthodox,8,2,6.0,0.0,2.0,0.0,1.0,1.0,53.5,,100.0,2026-03-14,,28.0,L,,,,,,Vitor Petrino,USA,,True,True,0.0,,,,,1.0,,4.0,144.0,0.25,53.4,0.25,51.25,1.25,7.881,0.0,5.245,39.1,11.2,22.9,8.4,65.9,85.4,6.2,83.8,0.0,7.8,8.4,95.6,4.4
Guilherme Pat,Heavyweight,77.0,81.0,Orthodox,6,2,4.0,0.0,2.0,0.0,0.0,2.0,60.9,,100.0,2026-04-04,,32.0,L,,,,,,Thomas Petersen,Brazil,,True,True,0.0,,,,,0.333,,3.0,69.0,0.0,60.6,1.0,42.33,2.0,2.8,0.0,2.822,45.0,11.0,18.1,0.0,70.9,69.0,19.0,84.1,26.8,15.9,11.9,44.1,29.1
Diego Ferreira,Lightweight,69.0,74.0,Orthodox,20,7,5.0,7.0,8.0,4.0,0.0,3.0,40.8,33.3,58.2,2025-09-13,,41.0,L,KO/TKO,,,,,Alexander Hernandez,Brazil,,True,True,0.818,4.399,3.627,0.809,,0.15,46.4,20.0,109.35,1.95,45.7,0.2,32.2,3.95,4.678,1.023,3.377,190.7,9.2,18.9,14.7,71.9,72.0,21.2,78.8,16.8,6.5,6.8,76.2,7.0
Billy Quarantillo,Lightweight,70.0,70.0,Orthodox,18,8,8.0,5.0,5.0,3.0,1.0,4.0,52.6,24.6,60.3,2024-12-15,,37.0,L,,,,,,Cub Swanson,USA,,True,True,1.59,7.048,6.484,1.786,,0.154,26.8,13.0,155.54,4.38,42.6,0.231,68.54,4.46,7.182,1.419,6.02,148.0,10.0,19.0,13.6,71.0,69.0,23.4,68.9,8.3,17.5,7.6,77.9,13.8
Louie Sutherland,Heavyweight,75.0,76.0,Orthodox,11,6,8.0,0.0,3.0,1.0,2.0,3.0,,40.0,,2026-05-02,,32.0,W,,,,,,Tai Tuivasa,England,,True,True,4.945,,,,,0.0,39.7,4.0,13.0,3.75,,0.0,9.75,0.75,,,,20.0,,,,,,,,,,,,
José Montanha,Heavyweight,76.0,,,6,1,2.0,4.0,0.0,0.0,0.0,1.0,,,,2025-08-30,,29.0,W,,,,,,Bruno de Jesus,Brazil,,True,True,,,,,,0.0,,1.0,7.0,2.0,,0.0,3.0,1.0,,,,1.8,,,,,,,,,,,,
Bruno Lopes,Light Heavyweight,74.0,74.0,Orthodox,14,4,6.0,5.0,3.0,4.0,0.0,0.0,44.5,25.0,100.0,2026-03-28,,33.0,L,,,,,,Navajo Stirling,Brazil,,True,True,2.894,,,,,0.0,22.9,6.0,47.17,4.0,46.1,1.0,35.33,1.5,2.869,2.049,4.827,43.9,23.6,22.2,2.4,54.2,54.0,23.0,74.6,16.0,23.0,23.0,75.0,9.0
Diyar Nurgozhay,Light Heavyweight,74.0,74.0,Southpaw,12,2,7.0,2.0,3.0,0.0,2.0,0.0,61.3,,72.7,2026-03-07,,29.0,W,DEC,,,,,Rafael Tobias,Kazakhstan,,True,True,1.858,5.187,2.746,1.449,,0.6,,5.0,64.0,0.8,63.3,0.4,21.2,2.2,5.194,1.193,2.809,37.7,31.1,20.8,11.7,48.1,36.2,37.2,83.7,8.5,4.6,26.5,87.7,3.8
Amanda Lemos,Women's Strawweight,64.0,65.0,Southpaw,15,7,8.0,3.0,4.0,1.0,2.0,4.0,62.8,57.9,63.5,2026-03-14,,39.0,L,,,,,,Gillian Robertson,Brazil,,True,True,1.021,1.678,2.124,0.976,,0.375,48.7,16.0,49.88,1.19,55.6,0.062,35.5,3.25,2.838,0.935,3.217,176.6,19.4,24.8,15.8,55.8,63.5,22.2,71.9,20.2,12.4,14.4,53.9,25.9
Alexia Thainara,Women's Strawweight,64.0,67.0,Orthodox,15,1,1.0,7.0,7.0,0.0,1.0,0.0,47.2,53.1,,2026-03-28,,30.0,W,,,,,,Bruna Brasil,Brazil,,True,True,5.212,,,,,0.0,49.9,5.0,131.4,6.4,49.9,0.0,35.6,0.8,4.804,3.951,2.758,64.5,15.2,30.9,10.3,53.9,47.7,25.2,73.5,2.8,16.1,27.1,87.6,9.6
Mateusz Gamrot,Lightweight,70.0,70.5,Southpaw,26,5,8.0,6.0,12.0,0.0,2.0,3.0,51.3,38.3,76.9,2026-04-11,,35.0,W,,,,,,Esteban Ribovics,Poland,,True,True,5.224,3.399,2.682,5.215,,0.067,44.1,15.0,65.07,9.4,51.7,0.333,29.67,0.87,2.872,4.643,2.551,174.5,14.4,34.2,18.2,51.5,76.8,13.6,75.4,7.9,6.4,9.6,86.3,5.8
Quillan Salkilld,Lightweight,72.0,75.0,Orthodox,13,1,5.0,5.0,3.0,0.0,1.0,0.0,56.9,36.4,81.2,2026-05-02,,26.0,W,,,,,,Beneil Dariush,Australia,,True,True,6.164,,,,,0.429,36.0,7.0,52.0,7.86,56.1,0.0,17.43,2.29,4.731,6.857,2.789,43.8,9.8,22.1,9.2,68.0,57.5,31.4,75.4,4.1,15.5,11.1,77.0,18.9
Neil Magny,Welterweight,75.0,80.0,Orthodox,32,15,10.0,5.0,17.0,5.0,7.0,3.0,48.6,29.4,45.1,2026-08-15,,38.0,W,KO/TKO,,,,,Ramiz Brahimaj,USA,0.0,True,True,2.168,2.786,2.826,1.757,,0.042,33.5,24.0,76.75,3.54,50.3,0.375,31.92,2.12,3.214,1.345,2.748,278.8,27.2,12.7,26.1,60.2,71.7,19.0,59.8,20.0,14.1,9.4,73.0,7.0
Ramiz Brahimaj,Welterweight,70.0,72.0,Orthodox,13,7,1.0,12.0,0.0,2.0,0.0,5.0,48.7,34.5,44.8,2026-08-15,,33.0,L,KO/TKO,,,,,Neil Magny,USA,0.0,True,True,1.994,2.343,2.636,2.279,,0.1,29.5,10.0,35.3,2.9,55.4,0.1,24.6,2.9,2.219,1.935,3.174,77.5,8.5,31.3,4.1,60.2,71.5,22.7,79.7,3.3,16.3,5.8,73.6,23.2
Vicente Luque,Middleweight,71.0,75.5,Orthodox,24,13,11.0,10.0,3.0,2.0,3.0,8.0,50.9,48.3,65.4,2026-08-15,,34.0,L,DEC,,,,,Tresean Gore,Brazil,0.0,True,True,0.887,3.373,5.664,1.077,,0.458,35.4,24.0,90.54,1.21,44.1,0.167,50.58,2.17,4.994,0.947,5.476,221.7,10.7,14.3,5.5,75.0,60.9,12.7,89.2,7.8,5.3,26.4,81.2,11.0
Tresean Gore,Middleweight,72.0,75.0,Switch,8,4,2.0,4.0,2.0,2.0,0.0,2.0,49.8,72.7,83.9,2026-08-15,,32.0,W,DEC,,,,,Vicente Luque,USA,0.0,True,True,1.912,2.578,8.127,1.02,,0.0,71.7,7.0,61.43,1.57,51.1,0.571,62.71,4.43,3.41,1.912,6.996,62.8,13.4,35.3,5.1,51.3,57.5,15.4,84.1,3.9,10.7,27.1,89.5,6.6
Chidi Njokuani,Welterweight,75.0,80.0,Orthodox,26,12,15.0,1.0,10.0,5.0,4.0,3.0,62.1,0.0,75.0,2026-08-15,,37.0,W,DEC,,,,,Joel Álvarez,USA,0.0,True,True,0.0,6.357,4.445,0.0,,0.286,0.0,14.0,62.43,0.5,60.2,0.071,24.43,3.14,3.897,0.0,2.454,139.3,17.5,21.3,12.7,61.1,39.2,39.4,61.0,12.6,26.3,21.4,75.4,12.0
Geoff Neal,Welterweight,71.0,75.0,Southpaw,16,8,10.0,2.0,4.0,3.0,2.0,3.0,50.9,45.5,87.5,2026-02-21,,35.0,L,KO/TKO,,,,,Uroš Medić,USA,,True,True,0.546,4.867,5.96,0.559,,0.474,40.6,19.0,72.37,0.58,51.2,0.158,40.32,1.68,4.051,0.434,4.433,172.8,10.6,27.2,7.4,62.3,84.9,8.9,81.7,0.9,10.9,6.3,89.6,9.5
Jeremiah Wells,Welterweight,69.0,74.0,Switch,14,4,5.0,5.0,4.0,0.0,1.0,3.0,46.0,46.7,50.0,2026-08-15,,39.0,W,SUB,,,,,Myktybek Orolbai,USA,0.0,True,True,3.064,2.183,1.246,3.026,,0.2,54.3,10.0,35.0,3.0,48.6,0.2,8.8,1.4,1.815,2.367,0.992,88.7,12.5,33.0,44.1,54.5,82.6,14.9,52.8,10.2,3.1,2.5,78.4,11.4
Myktybek Orolbai,Welterweight,70.0,74.0,Orthodox,16,3,7.0,6.0,3.0,0.0,1.0,2.0,50.0,59.0,40.0,2026-08-15,,28.0,L,SUB,,,,,Jeremiah Wells,Kyrgyzstan,0.0,True,True,8.773,3.331,3.487,5.008,,0.333,65.4,6.0,57.0,10.17,51.0,0.167,27.67,1.67,2.778,8.773,2.697,61.5,18.7,20.5,29.8,60.8,74.9,12.9,66.7,15.1,3.5,12.3,73.5,11.4
Edson Barboza,Lightweight,71.0,75.0,Orthodox,24,15,14.0,1.0,9.0,6.0,2.0,7.0,46.6,43.8,67.9,2026-08-15,,40.0,L,KO/TKO,,,,,Esteban Ribovics,Brazil,0.0,True,True,0.431,4.482,6.385,0.356,,0.375,67.3,24.0,110.92,0.67,47.6,0.333,59.46,2.33,4.096,0.347,4.71,303.0,14.2,13.8,3.7,72.0,45.3,33.3,91.1,12.3,5.2,21.4,82.9,4.8
Esteban Ribovics,Lightweight,70.0,69.0,Orthodox,16,3,8.0,5.0,3.0,0.0,1.0,2.0,43.0,,66.1,2026-08-15,,30.0,W,KO/TKO,,,,,Edson Barboza,Argentina,0.0,True,True,0.353,8.591,7.178,0.238,,0.375,,8.0,182.5,0.38,41.1,0.125,63.0,7.0,7.266,0.347,5.831,86.4,7.5,19.2,4.8,73.2,75.0,16.1,93.0,3.2,2.2,8.9,94.2,2.6
Dustin Stoltzfus,Middleweight,72.0,75.0,Orthodox,17,8,3.0,7.0,6.0,2.0,2.0,4.0,45.2,37.5,46.7,2026-08-15,,34.0,W,SUB,,,,,Mansur Abdul-Malik,USA,0.0,True,True,2.026,3.322,3.172,1.987,,0.182,35.7,11.0,71.64,3.64,46.7,0.273,31.73,1.36,3.296,2.083,3.231,108.0,11.7,18.1,8.4,70.2,49.7,24.4,81.2,7.4,10.4,25.8,83.7,8.9
Mansur Abdul-Malik,Middleweight,74.0,79.5,Orthodox,9,2,7.0,2.0,0.0,1.0,1.0,0.0,44.9,41.7,83.3,2026-08-15,,28.0,L,SUB,,,,,Dustin Stoltzfus,USA,0.0,True,True,2.053,,,,,0.167,41.9,6.0,55.33,2.0,41.9,0.333,34.0,3.0,3.278,1.65,4.488,45.4,29.4,20.1,44.3,50.5,87.9,6.0,45.0,2.0,10.7,6.0,84.3,13.7
Jalin Turner,Lightweight,75.0,77.0,Southpaw,16,9,12.0,4.0,0.0,4.0,1.0,4.0,48.9,55.6,75.0,2026-08-15,,31.0,W,KO/TKO,,,,,Kauê Fernandes,USA,0.0,True,True,0.635,5.937,4.64,0.488,,0.667,43.4,15.0,78.47,0.6,51.2,0.133,30.13,3.2,5.788,0.754,4.542,99.5,24.1,16.2,16.7,59.7,68.4,25.9,73.4,13.9,9.9,5.7,78.1,8.0
Kauê Fernandes,Lightweight,69.0,73.0,Orthodox,11,3,6.0,2.0,3.0,1.0,0.0,2.0,55.4,,76.9,2026-08-15,,31.0,L,KO/TKO,,,,,Jalin Turner,Brazil,0.0,True,True,1.181,4.849,1.592,1.239,,1.0,,4.0,73.5,0.75,55.5,0.0,13.5,3.25,4.278,1.181,1.417,38.1,,,12.3,,47.9,20.2,83.4,,4.3,31.9,,
Erin Blanchfield,Flyweight,64.0,66.0,Orthodox,14,2,2.0,5.0,7.0,0.0,0.0,2.0,44.4,34.0,78.3,2025-11-15,,27.0,W,SUB,,,,,Tracy Cortez,USA,,True,True,1.958,5.039,4.629,1.563,,0.0,29.7,10.0,144.8,4.7,41.5,0.0,52.1,2.3,4.673,1.744,3.786,137.6,15.4,14.6,16.2,70.1,70.6,15.9,77.1,0.0,6.7,13.5,95.2,4.8
Jasmine Jasudavicius,Flyweight,67.0,68.0,Orthodox,15,4,2.0,4.0,9.0,1.0,0.0,3.0,44.3,46.0,75.0,2026-04-18,,37.0,W,,,,,,Karine Silva,Canada,,True,True,2.488,3.665,3.477,2.754,,0.077,50.6,13.0,99.85,4.85,43.1,0.0,44.15,1.23,3.47,2.625,3.464,165.7,17.6,19.2,24.9,63.2,69.7,23.0,63.8,4.7,11.3,7.3,88.5,6.8
Junior Tafa,Light Heavyweight,75.0,75.0,Orthodox,7,6,7.0,0.0,0.0,2.0,3.0,1.0,52.1,,72.7,2026-06-06,,29.0,L,,,,,,Iwo Baraniewski,Australia,,True,True,0.0,3.806,2.723,0.0,,0.222,,9.0,42.67,0.0,53.9,0.222,17.0,4.89,3.53,0.0,2.701,56.6,25.5,10.5,10.0,64.1,80.0,17.5,77.0,20.9,13.0,2.5,75.8,3.3
Ce Liu,Light Heavyweight,77.0,77.5,,3,1,3.0,0.0,0.0,1.0,0.0,0.0,,,,2026-05-23,,29.0,W,,,,,,Igor Barabanov,China,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Asakura,Bantamweight,68.0,69.0,Orthodox,22,6,14.0,3.0,5.0,3.0,2.0,1.0,34.3,,50.0,2026-05-30,,32.0,W,,,,,,Cameron Smotherman,Japan,,True,True,0.0,,,,,0.25,,4.0,34.25,0.0,33.5,0.0,15.5,2.5,1.4,0.0,1.847,33.6,30.6,11.3,,58.1,,,,1.6,,,95.2,3.2
Aoriqileng,Bantamweight,67.0,69.0,Orthodox,26,13,9.0,1.0,16.0,2.0,3.0,8.0,49.9,46.7,59.5,2026-05-30,,33.0,L,,,,,,Cody Haddon,China,,True,True,1.107,3.603,3.64,0.952,,0.3,44.1,10.0,83.5,1.5,51.1,0.4,53.7,4.2,4.396,1.107,5.661,94.9,11.0,14.2,11.0,74.9,65.0,23.7,83.5,14.0,5.5,11.3,79.1,6.9
Rei Tsuruya,Flyweight,66.0,68.0,Orthodox,11,1,4.0,5.0,2.0,0.0,0.0,1.0,46.2,25.0,,2026-05-30,,24.0,W,,,,,,Luis Gurule,Japan,,True,True,3.602,,,,,0.0,24.7,3.0,47.67,10.67,48.0,0.0,25.33,0.67,1.981,3.602,2.281,33.3,7.9,31.6,40.9,60.5,90.9,6.1,56.1,6.6,3.0,3.0,81.6,11.8
Kevin Borjas,Flyweight,65.0,68.0,Orthodox,11,5,8.0,0.0,3.0,2.0,1.0,2.0,42.9,0.0,72.7,2026-06-20,,28.0,W,,,,,,Andre Lima,Peru,,True,True,0.0,3.143,5.619,0.0,,0.429,0.0,7.0,117.14,1.57,42.7,0.286,68.43,4.71,3.871,0.0,5.268,90.9,22.3,23.2,1.1,54.5,76.7,15.3,94.0,9.2,4.8,8.0,87.7,3.1
Alex Perez,Flyweight,66.0,65.5,Orthodox,26,10,7.0,7.0,12.0,2.0,6.0,2.0,45.1,45.5,74.4,2026-05-30,,34.0,D,,,,,,Sumudaerji,USA,,True,True,2.128,4.636,3.275,1.896,,0.286,42.4,21.0,48.38,1.57,41.3,0.048,16.76,1.86,2.737,1.345,2.104,167.3,11.9,19.0,13.5,69.0,58.7,17.9,72.7,14.5,13.8,23.4,79.3,6.2
Sumudaerji,Flyweight,68.0,72.0,Southpaw,19,7,13.0,1.0,5.0,0.0,6.0,1.0,50.5,37.5,73.1,2026-05-30,,30.0,D,,,,,,Alex Perez,China,,True,True,0.762,4.252,2.012,1.211,,0.273,40.5,11.0,93.45,1.45,47.9,0.091,24.55,4.73,4.397,0.762,2.287,118.0,17.4,16.7,11.4,65.9,61.5,14.8,81.1,23.3,7.5,23.7,64.4,12.2
Yan Xiaonan,Women's Strawweight,65.0,63.0,Orthodox,19,5,8.0,1.0,10.0,1.0,1.0,3.0,45.1,73.3,64.9,2025-04-12,,37.0,L,DEC,,,,,Virna Jandiroba,China,,True,True,0.845,3.29,2.483,0.689,,0.133,82.3,15.0,135.33,1.0,48.3,0.0,42.07,3.8,4.285,0.772,2.952,213.8,11.6,17.9,5.9,70.5,65.4,13.2,86.6,18.2,7.5,21.4,73.1,8.7
Denise Gomes,Women's Strawweight,62.0,63.0,Orthodox,12,3,7.0,0.0,5.0,1.0,0.0,2.0,49.0,34.5,66.7,2025-11-08,,26.0,W,DEC,,,,,Tecia Pennington,Brazil,,True,True,1.694,4.091,3.11,2.074,,0.333,36.7,9.0,104.0,3.22,48.3,0.0,36.33,5.33,4.433,1.449,3.158,103.5,19.6,29.4,10.9,51.1,49.2,26.1,68.0,9.2,21.1,24.6,71.3,19.6
Song Yadong,Bantamweight,68.0,67.0,Orthodox,23,9,9.0,4.0,10.0,2.0,0.0,6.0,43.7,41.4,73.8,2026-05-30,,28.0,W,,,,,,Deiveson Figueiredo,China,,True,True,0.815,4.12,4.029,1.224,,0.412,41.1,17.0,129.06,1.71,44.6,0.0,49.53,3.82,4.337,0.815,3.812,220.9,22.0,20.4,8.0,57.6,61.3,19.0,86.0,4.9,5.9,19.7,90.6,4.5
Trevor Peek,Featherweight,69.0,70.0,Switch,9,3,8.0,0.0,1.0,0.0,0.0,3.0,54.0,50.0,52.7,2024-09-07,,31.0,L,DEC,,,,,Yanal Ashmouz,USA,,True,True,1.385,,,,,0.333,50.0,6.0,98.5,2.33,53.0,0.0,47.0,9.17,4.394,1.446,3.884,72.6,12.4,25.2,10.7,62.4,59.9,25.4,71.8,7.1,17.6,14.7,63.8,29.1
Kurtis Campbell,Featherweight,69.0,72.0,Switch,8,1,5.0,1.0,2.0,1.0,0.0,0.0,,40.0,,2026-03-21,,23.0,L,,,,,,Danny Silva,England,,True,True,,,,,,0.0,40.0,2.0,25.0,5.0,,1.0,9.0,1.0,,,,6.8,,,,,,,,,,,,
Michael Page,Middleweight,75.0,79.0,Switch,25,3,13.0,3.0,9.0,1.0,0.0,2.0,56.5,0.0,68.4,2026-03-21,,39.0,W,,,,,,Sam Patterson,default,,True,True,0.0,2.219,1.751,0.0,,0.0,0.0,7.0,40.71,0.71,54.8,0.0,16.86,2.71,1.933,0.0,1.417,83.3,34.7,27.1,1.9,38.1,63.4,21.7,92.5,15.3,5.6,14.9,69.5,15.3
Nursulton Ruziboev,Middleweight,77.0,76.0,Orthodox,37,9,13.0,21.0,3.0,1.0,1.0,7.0,46.5,80.0,33.3,2026-06-27,,32.0,W,,,,,,Andrey Pulyaev,Uzbekistan,,True,True,1.361,2.573,2.546,0.668,,0.5,82.6,6.0,37.67,0.83,46.9,0.167,19.67,1.5,2.381,1.361,2.676,44.1,16.9,17.8,21.0,65.3,68.6,25.7,71.4,61.0,7.6,5.7,38.1,0.8
Ryan Spann,Heavyweight,77.0,79.0,Orthodox,24,11,7.0,14.0,3.0,5.0,3.0,3.0,39.7,34.8,59.4,2026-04-25,,34.0,W,,,,,,Marcus Buchecha,USA,,True,True,1.215,,,,,0.389,33.7,18.0,43.28,1.28,37.4,0.278,21.67,1.78,3.108,1.207,3.922,99.4,20.5,11.3,20.4,68.2,75.7,18.1,72.5,16.9,7.1,6.1,76.2,6.9
Mario Pinto,Heavyweight,77.0,79.0,Orthodox,12,0,7.0,1.0,4.0,0.0,0.0,0.0,69.8,26.3,,2026-03-21,,28.0,W,,,,,,Felipe Franco,Portugal,,True,True,2.515,,,,,0.5,24.9,4.0,32.25,4.75,68.2,0.25,15.25,0.5,2.854,2.378,1.934,31.5,13.1,36.1,34.4,50.8,78.9,8.9,50.0,0.0,15.6,12.2,85.2,14.8
Henrique da Silva Lopes,Heavyweight,75.0,,,5,2,5.0,0.0,0.0,1.0,1.0,0.0,,,,2019-08-23,,41.0,L,,,,,,Hugo Cunha,Brazil,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Hooker,Lightweight,72.0,75.0,Switch,24,14,11.0,7.0,6.0,4.0,4.0,6.0,48.8,30.0,76.0,2026-01-31,,36.0,L,KO/TKO,,,,,Benoît Saint Denis,New Zealand,,False,True,0.679,4.307,4.704,0.397,,0.375,21.1,24.0,98.54,1.25,51.2,0.083,49.04,4.17,4.746,0.555,4.841,243.1,10.0,17.4,7.2,72.6,62.9,18.3,84.1,12.8,8.7,18.8,78.1,9.1
Salahdine Parnasse,Lightweight,68.0,69.0,,23,2,8.0,7.0,8.0,1.0,0.0,1.0,,,,2026-05-16,,28.0,W,,,,,,Kenneth Cross,France,,False,True,,,,,,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,,8.7,,,,,,,,,,,,
Stephanie Luciano,Women's Strawweight,66.0,65.0,Orthodox,8,2,2.0,2.0,4.0,0.0,0.0,2.0,42.9,66.7,81.0,2026-08-01,,26.0,W,SUB,,,,,Marina Spasić,Brazil,0.0,True,True,,4.982,3.205,1.715,,0.2,63.6,5.0,149.8,1.8,41.7,0.0,40.2,8.4,5.248,1.471,3.286,61.2,17.9,21.4,6.2,60.7,61.4,20.6,86.0,10.4,7.8,18.1,84.1,5.5
Marina Spasić,Women's Strawweight,64.0,,,7,2,6.0,0.0,1.0,0.0,1.0,1.0,,,,2026-08-01,,32.0,L,SUB,,,,,Stephanie Luciano,Serbia,0.0,True,True,,,,,,0.0,,1.0,53.0,0.0,,0.0,20.0,2.0,,,,3.3,,,,,,,,,,,,
Alexander Poppeck,Heavyweight,74.0,,Orthodox,21,6,13.0,1.0,6.0,2.0,2.0,2.0,,,,2026-08-01,,34.0,L,KO/TKO,,,,,Jovan Leka,Germany,0.0,True,True,,,,,,0.0,,2.0,42.0,2.0,,0.5,51.5,0.0,,,,11.9,9.7,29.1,,61.2,,,,8.7,,,66.0,25.2
Borislav Nikolic,Bantamweight,69.0,72.0,Orthodox,16,2,7.0,8.0,2.0,0.0,1.0,1.0,38.8,,62.5,2026-08-01,,33.0,W,DEC,,,,,Mark Vologdin,Serbia,0.0,True,True,,,,,,0.0,,1.0,147.0,1.0,38.8,1.0,42.0,8.0,,,,15.0,,,,,,,,,,,,
Milos Janicic,Lightweight,71.0,72.5,,19,4,11.0,8.0,0.0,1.0,1.0,2.0,,,,2026-08-01,,29.0,L,SUB,,,,,Noah Gugnon,Montenegro,0.0,True,True,,,,,,0.0,,1.0,19.0,0.0,,0.0,5.0,0.0,,,,1.4,,,,,,,,,,,,
Noah Gugnon,Lightweight,70.0,68.5,,10,2,6.0,4.0,0.0,1.0,0.0,1.0,,,,2026-08-01,,25.0,W,SUB,,,,,Milos Janicic,France,0.0,True,True,,,,,,0.0,,1.0,11.0,0.0,,0.0,6.0,0.0,,,,1.4,,,,,,,,,,,,
Billy Ray Goff,Welterweight,70.0,72.0,Switch,9,5,7.0,0.0,2.0,2.0,1.0,2.0,46.1,11.5,66.7,2025-05-31,,28.0,L,SUB,,,,,Ramiz Brahimaj,USA,,False,True,,,,,,0.4,4.9,5.0,94.6,5.2,45.6,0.6,52.4,1.2,6.064,1.252,7.288,36.0,1.5,10.3,1.4,88.2,48.6,22.5,89.4,10.3,9.2,28.9,81.7,8.0
Ty Miller,Welterweight,74.0,77.0,Orthodox,8,0,4.0,0.0,4.0,0.0,0.0,0.0,46.9,,91.7,2026-01-24,,26.0,W,KO/TKO,,,,,Adam Fugitt,USA,,False,True,,,,,,1.0,,3.0,196.0,0.0,49.3,0.0,39.33,4.0,9.129,0.0,3.903,30.2,22.9,34.7,10.1,42.4,90.6,8.7,79.7,0.0,10.1,0.7,87.3,12.7
Juliana Miller,Women's Flyweight,67.0,66.0,Orthodox,6,4,1.0,4.0,1.0,1.0,0.0,3.0,41.3,31.4,44.4,2026-02-21,,30.0,L,DEC,,,,,Carli Judice,USA,,False,True,,,,,,0.0,27.8,6.0,76.67,5.83,38.8,0.0,44.33,1.5,2.743,2.382,3.84,69.3,15.0,24.1,23.2,60.9,69.5,24.7,61.1,10.2,15.8,5.8,82.0,7.9
Ravena Oliveira,Women's Flyweight,65.0,65.0,Orthodox,7,5,6.0,1.0,0.0,1.0,3.0,1.0,31.0,,47.1,2026-03-21,,29.0,L,,,,,,Shanelle Dyer,Brazil,,False,True,,,,,,0.0,,4.0,58.0,1.0,30.0,0.0,37.75,4.25,1.767,0.736,3.706,40.8,25.8,26.5,0.0,47.7,58.3,23.6,91.7,18.5,8.3,18.1,62.3,19.2
Darren Elkins,Featherweight,70.0,71.0,Orthodox,29,13,9.0,6.0,14.0,6.0,1.0,6.0,39.0,32.6,56.4,2025-04-12,,42.0,L,KO/TKO,,,,,Julian Erosa,USA,,False,True,,,,,,0.08,29.1,25.0,103.04,6.88,39.9,0.28,42.6,2.2,3.47,2.9,3.677,289.7,12.0,15.4,19.2,72.6,74.3,20.9,57.8,16.1,23.0,4.8,68.8,15.1
Yadier del Valle,Featherweight,69.0,69.0,Southpaw,11,1,3.0,4.0,4.0,0.0,0.0,1.0,61.4,42.9,61.5,2026-02-21,,29.0,L,DEC,,,,,Jordan Leavitt,Cuba,,False,True,,,,,,0.2,45.3,5.0,49.8,1.4,58.5,0.0,15.8,2.6,4.117,1.211,2.126,37.2,16.5,7.6,19.0,75.9,59.5,22.2,47.7,6.3,33.3,18.3,81.0,12.7
