name,espn_id
clay collard,2984772
clay guida,2335674
clay harvison,2560090
clayton carpenter,4904998
clifford starks,2592872
clint hester,3026131
cm punk,3962508
cody brundage,4684474
cody donovan,2556644
cody durden,4686725
cody east,3038389
cody garbrandt,3163637
cody gibson,2591306
cody haddon,5001014
cody mckenzie,2536133
cody pfister,2517112
cody stamann,4046059
colby covington,3088810
colby thicknesse,5264462
cole escovedo,2354088
cole miller,2335690
cole smith,4421295
cole williams,3102126
colin fletcher,3009718
colin robinson,2431281
collin anglin,4686739
collin hart,3026139
colton smith,3002086
connor matthews,5044438
conor mcgregor,3022677
constantinos philippou,2553304
corey anderson,3112020
corey hill,2335811
cortavious romious,4775129
cortney casey,3910104
cory hendricks,3918208
cory mckenna,4565671
cory sandhagen,4294504
cory walmsley,2556807
court mcgee,2504639
courtney turner,2951489
crafton wallace,2354204
craig white,3156514
cris cyborg,2354564
cristian quinonez,4884868
cristiano marcello,2516141
cristina stanciu,3972432
cub swanson,2354087
cung le,2447637
curt warburton,2509286
curtis blaydes,3922557
curtis millender,3153151
curtis stout,2479472
cynthia calvillo,4085155
cyril asker,3968304
cyrille diabate,2335519
da woon jung,4389252
da'mon blackshear,4409558
daichi abe,4046608
daiju takase,2479915
dakota bush,4372290
dakota hope,4898914
dalcha lungiambula,4217382
dale hartt,2335805
damacio page,2465553
damarques johnson,2502589
damian grabowski,2506570
damian pinas,5292022
damian rzepecki,5364334
damian stasiak,3728368
damien anderson,5369722
damien brown,3104468
damir hadzovic,3077807
damir ismagulov,4215563
damon jackson,3099187
dan argueta,4815973
dan barrera,2354198
dan bobish,2501777
dan christison,2354046
dan cramer,2335788
dan evensen,2335874
dan hardy,2354205
dan henderson,2335497
dan hooker,3109135
dan ige,4074001
dan lauzon,2354217
dan miller,2335696
dan moret,3150680
dan severn,2335726
dan spohn,3024141
dan stittgen,2616899
daniel barez,4236496
daniel cormier,2509290
daniel frunza,5153082
daniel jolly,3923647
daniel kelly,3147329
daniel lacerda,4895772
daniel marcos,5088886
daniel omielanczuk,3042167
daniel pineda,2514828
daniel roberts,2504245
daniel rodriguez,4426312
daniel santos,4881997
daniel sarafian,3005987
daniel spitz,4088505
daniel teymur,4237238
daniel zellhuber,4863327
danielle taylor,4037323
daniil donchenko,5289841
danillo villefort,2516143
danilo belluardo,3960698
danilo marques,4205213
danny abbadi,2556806
danny barlow,5152138
danny castillo,2486967
danny chavez,3890629
danny downes,2503556
danny henry,4237147
danny martinez,2503660
danny mitchell,2986685
danny roberts,2968419
danny silva,4702589
dante rivera,2500678
danyelle wolf,4375603
daria zhelezniakova,4894780
darian weeks,4873639
darko stosic,3996934
daron cruickshank,2512969
darrel gholar,2558137
darrell horcher,3026393
darrell montague,2559936
darren elkins,2504168
darren stewart,4064854
darren till,3897436
darren uyenoyama,2558393
darrick minner,3121961
darrill schoonover,2556038
darrius flowers,4358252
dashon johnson,3106171
dave beneteau,2951146
dave berry,2951148
dave galera,3082806
dave herman,2505282
dave menne,2431253
dave strasser,2354052
davey grant,3070984
davi ramos,3114625
david abbott,2354050
david baron,2335760
david bielkheden,2335763
david branch,2504246
david dodd,2475132
david dvorak,4601431
david heath,2335627
david hood,2951253
david kaplan,2335814
david lee,2354368
david levicki,2951297
david loiseau,2335867
david martinez,4503229
david michaud,3102615
david mitchell,2506556
david onama,4897850
david roberts,2501942
david terrell,2497962
david teymur,3957136
david velasquez,2499293
david zawada,3161786
dayana silva,3971629
dean barry,3127966
dean lister,2335829
deanna bennett,3073380
deiveson figueiredo,4189320
delson heleno,2431363
demetrious johnson,2512089
demian maia,2335778
denis kang,2335751
